city,country,province,Continent
Dolores,Argentina,Ciudad de Buenos Aires,South America
Pedro Luro,Argentina,Ciudad de Buenos Aires,South America
Tres Arroyos,Argentina,Ciudad de Buenos Aires,South America
Coronel Suarez,Argentina,Ciudad de Buenos Aires,South America
Balcarce,Argentina,Ciudad de Buenos Aires,South America
25 de Mayo,Argentina,Río Negro,South America
General Roca,Argentina,Río Negro,South America
Comallo,Argentina,Río Negro,South America
Ingeniero Jacobacci,Argentina,Río Negro,South America
General Conesa,Argentina,Río Negro,South America
Choele Choel,Argentina,Río Negro,South America
San Francisco,Argentina,Córdoba,South America
Alta Gracia,Argentina,Córdoba,South America
Villa Maria,Argentina,Córdoba,South America
Bell Ville,Argentina,Córdoba,South America
Villa Rumipal,Argentina,Córdoba,South America
Villa Carlos Paz,Argentina,Córdoba,South America
Chumbicha,Argentina,Catamarca,South America
Tinogasta,Argentina,Catamarca,South America
Abra Pampa,Argentina,Jujuy,South America
Humahuaca,Argentina,Jujuy,South America
Susques,Argentina,Jujuy,South America
Chepes,Argentina,La Rioja,South America
Yacuiba,Argentina,Salta,South America
Tartagal,Argentina,Salta,South America
Joaquin V. Gonzalez,Argentina,Salta,South America
General Guemes,Argentina,Salta,South America
Trancas,Argentina,Tucumán,South America
Presidencia Roque Saenz Pena,Argentina,Chaco,South America
Pampa del Infierno,Argentina,Chaco,South America
Villa Angela,Argentina,Chaco,South America
Ingeniero Guillermo N. Juarez,Argentina,Formosa,South America
Comandante Fontana,Argentina,Formosa,South America
Doctor Pedro P. Pena,Argentina,Formosa,South America
San Lorenzo,Argentina,Corrientes,South America
Corrientes,Argentina,Corrientes,South America
Concepcion del Uruguay,Argentina,Entre Ríos,South America
Victoria,Argentina,Entre Ríos,South America
Gualeguay,Argentina,Entre Ríos,South America
Parana,Argentina,Entre Ríos,South America
Villa Constitucion,Argentina,Santa Fe,South America
Rafaela,Argentina,Santa Fe,South America
Eldorado,Argentina,Misiones,South America
Rodeo,Argentina,San Juan,South America
Las Plumas,Argentina,Chubut,South America
Gastre,Argentina,Chubut,South America
Telsen,Argentina,Chubut,South America
Malargue,Argentina,Mendoza,South America
Tunuyan,Argentina,Mendoza,South America
La Paz,Argentina,Mendoza,South America
Chos Malal,Argentina,Neuquén,South America
Las Lajas,Argentina,Neuquén,South America
Zarate,Argentina,Ciudad de Buenos Aires,South America
Carhue,Argentina,Ciudad de Buenos Aires,South America
Darregueira,Argentina,Ciudad de Buenos Aires,South America
Juarez,Argentina,Ciudad de Buenos Aires,South America
Mar de Ajo,Argentina,Ciudad de Buenos Aires,South America
Lobos,Argentina,Ciudad de Buenos Aires,South America
Chascomus,Argentina,Ciudad de Buenos Aires,South America
Junin,Argentina,Ciudad de Buenos Aires,South America
La Plata,Argentina,Ciudad de Buenos Aires,South America
Pergamino,Argentina,Ciudad de Buenos Aires,South America
Lujan,Argentina,Ciudad de Buenos Aires,South America
Azul,Argentina,Ciudad de Buenos Aires,South America
Villalonga,Argentina,Ciudad de Buenos Aires,South America
Victorica,Argentina,La Pampa,South America
General Pico,Argentina,La Pampa,South America
San Antonio Oeste,Argentina,Río Negro,South America
Sierra Colorado,Argentina,Río Negro,South America
Mercedes,Argentina,San Luis,South America
Rio Tercero,Argentina,Córdoba,South America
Belen,Argentina,Catamarca,South America
Rinconada,Argentina,Jujuy,South America
San Pedro,Argentina,Jujuy,South America
Libertador General San Martin,Argentina,Jujuy,South America
Chilecito,Argentina,La Rioja,South America
Chamical,Argentina,La Rioja,South America
Los Blancos,Argentina,Salta,South America
Cafayate,Argentina,Salta,South America
Cerrillos,Argentina,Salta,South America
San Antonio de los Cobres,Argentina,Salta,South America
Anatuya,Argentina,Santiago del Estero,South America
Frias,Argentina,Santiago del Estero,South America
Monte Quemado,Argentina,Santiago del Estero,South America
Juan Jose Castelli,Argentina,Chaco,South America
Charata,Argentina,Chaco,South America
Las Lomitas,Argentina,Formosa,South America
Mercedes,Argentina,Corrientes,South America
Concordia,Argentina,Entre Ríos,South America
Sunchales,Argentina,Santa Fe,South America
San Justo,Argentina,Santa Fe,South America
Vera,Argentina,Santa Fe,South America
Reconquista,Argentina,Santa Fe,South America
Venado Tuerto,Argentina,Santa Fe,South America
Esquel,Argentina,Chubut,South America
Zapala,Argentina,Neuquén,South America
Olavarria,Argentina,Ciudad de Buenos Aires,South America
Tandil,Argentina,Ciudad de Buenos Aires,South America
Viedma,Argentina,Ciudad de Buenos Aires,South America
San Luis,Argentina,San Luis,South America
Rio Cuarto,Argentina,Córdoba,South America
San Salvador de Jujuy,Argentina,Jujuy,South America
San Ramon de la Nueva Oran,Argentina,Salta,South America
Goya,Argentina,Corrientes,South America
Puerto San Julian,Argentina,Santa Cruz,South America
Perito Moreno,Argentina,Santa Cruz,South America
Rio Grande,Argentina,Tierra del Fuego,South America
Ushuaia,Argentina,Tierra del Fuego,South America
Sarmiento,Argentina,Chubut,South America
San Rafael,Argentina,Mendoza,South America
Necochea,Argentina,Ciudad de Buenos Aires,South America
Rio Colorado,Argentina,La Pampa,South America
Catamarca,Argentina,Catamarca,South America
La Rioja,Argentina,La Rioja,South America
Santiago del Estero,Argentina,Santiago del Estero,South America
Resistencia,Argentina,Chaco,South America
Gualeguaychu,Argentina,Entre Ríos,South America
El Calafate,Argentina,Santa Cruz,South America
San Juan,Argentina,San Juan,South America
Rawson,Argentina,Chubut,South America
Neuquen,Argentina,Neuquén,South America
Santa Rosa,Argentina,La Pampa,South America
San Carlos de Bariloche,Argentina,Río Negro,South America
Salta,Argentina,Salta,South America
Tucumán,Argentina,Tucumán,South America
Formosa,Argentina,Formosa,South America
Santa Fe,Argentina,Santa Fe,South America
Rosario,Argentina,Santa Fe,South America
Puerto Deseado,Argentina,Santa Cruz,South America
Rio Gallegos,Argentina,Santa Cruz,South America
Comodoro Rivadavia,Argentina,Chubut,South America
Mendoza,Argentina,Mendoza,South America
Bahia Blanca,Argentina,Ciudad de Buenos Aires,South America
Mar del Plata,Argentina,Ciudad de Buenos Aires,South America
Córdoba,Argentina,Córdoba,South America
Posadas,Argentina,Misiones,South America
Buenos Aires,Argentina,Ciudad de Buenos Aires,South America
Ashtarak,Armenia,Aragatsotn,Asia
Ijevan,Armenia,Tavush,Asia
Artashat,Armenia,Ararat,Asia
Gavarr,Armenia,Gegharkunik,Asia
Yeghegnadzor,Armenia,Vayots Dzor,Asia
Gyumri,Armenia,Shirak,Asia
Vanadzor,Armenia,Lori,Asia
Yerevan,Armenia,Erevan,Asia
Oranjestad,Aruba,,South America
Central Coast,Australia,New South Wales,Australia
Sunshine Coast,Australia,Queensland,Australia
Bourke,Australia,New South Wales,Australia
Pine Creek,Australia,Northern Territory,Australia
Adelaide River,Australia,Northern Territory,Australia
McMinns Lagoon,Australia,Northern Territory,Australia
Newcastle Waters,Australia,Northern Territory,Australia
Ravensthorpe,Australia,Western Australia,Australia
Wagin,Australia,Western Australia,Australia
Roebourne,Australia,Western Australia,Australia
Pannawonica,Australia,Western Australia,Australia
Tom Price,Australia,Western Australia,Australia
Kalbarri,Australia,Western Australia,Australia
Mount Magnet,Australia,Western Australia,Australia
Morawa,Australia,Western Australia,Australia
Port Denison,Australia,Western Australia,Australia
Merredin,Australia,Western Australia,Australia
Mount Barker,Australia,Western Australia,Australia
Katanning,Australia,Western Australia,Australia
Narrogin,Australia,Western Australia,Australia
Gingin,Australia,Western Australia,Australia
Bunbury,Australia,Western Australia,Australia
Kwinana,Australia,Western Australia,Australia
Southern Cross,Australia,Western Australia,Australia
Kaltukatjara,Australia,Northern Territory,Australia
Queanbeyan,Australia,Australian Capital Territory,Australia
Tweed Heads,Australia,New South Wales,Australia
Ivanhoe,Australia,New South Wales,Australia
Wilcannia,Australia,New South Wales,Australia
Merimbula,Australia,New South Wales,Australia
Echuca,Australia,New South Wales,Australia
Deniliquin,Australia,New South Wales,Australia
Nowra,Australia,New South Wales,Australia
Ulladulla,Australia,New South Wales,Australia
Batemans Bay,Australia,New South Wales,Australia
Cooma,Australia,New South Wales,Australia
Tumut,Australia,New South Wales,Australia
Leeton,Australia,New South Wales,Australia
Young,Australia,New South Wales,Australia
Cowra,Australia,New South Wales,Australia
Forbes,Australia,New South Wales,Australia
Goulburn,Australia,New South Wales,Australia
Kiama,Australia,New South Wales,Australia
Katoomba,Australia,New South Wales,Australia
Richmond,Australia,New South Wales,Australia
Lithgow,Australia,New South Wales,Australia
Parkes,Australia,New South Wales,Australia
Bathurst,Australia,New South Wales,Australia
Maitland,Australia,New South Wales,Australia
Singleton,Australia,New South Wales,Australia
Mudgee,Australia,New South Wales,Australia
Muswellbrook,Australia,New South Wales,Australia
Taree,Australia,New South Wales,Australia
Kempsey,Australia,New South Wales,Australia
Gunnedah,Australia,New South Wales,Australia
Coffs Harbour,Australia,New South Wales,Australia
Narrabri,Australia,New South Wales,Australia
Inverell,Australia,New South Wales,Australia
Yamba,Australia,New South Wales,Australia
Ballina,Australia,New South Wales,Australia
Wagga Wagga,Australia,New South Wales,Australia
Scone,Australia,New South Wales,Australia
Byron Bay,Australia,New South Wales,Australia
Berri,Australia,South Australia,Australia
Peterborough,Australia,South Australia,Australia
Wallaroo,Australia,South Australia,Australia
Clare,Australia,South Australia,Australia
Meningie,Australia,South Australia,Australia
Kingston South East,Australia,South Australia,Australia
Bordertown,Australia,South Australia,Australia
Penola,Australia,South Australia,Australia
Kingoonya,Australia,South Australia,Australia
Kimba,Australia,South Australia,Australia
Streaky Bay,Australia,South Australia,Australia
Cowell,Australia,South Australia,Australia
Tumby Bay,Australia,South Australia,Australia
Andamooka,Australia,South Australia,Australia
Woomera,Australia,South Australia,Australia
Port Pirie,Australia,South Australia,Australia
Gawler,Australia,South Australia,Australia
Murray Bridge,Australia,South Australia,Australia
Victor Harbor,Australia,South Australia,Australia
Hamilton,Australia,Victoria,Australia
Ouyen,Australia,Victoria,Australia
Colac,Australia,Victoria,Australia
Stawell,Australia,Victoria,Australia
Horsham,Australia,Victoria,Australia
Ararat,Australia,Victoria,Australia
Maryborough,Australia,Victoria,Australia
Bairnsdale,Australia,Victoria,Australia
Sale,Australia,Victoria,Australia
Traralgon,Australia,Victoria,Australia
Wonthaggi,Australia,Victoria,Australia
Cranbourne,Australia,Victoria,Australia
Ballarat,Australia,Victoria,Australia
Melton,Australia,Victoria,Australia
Seymour,Australia,Victoria,Australia
Shepparton,Australia,Victoria,Australia
Cobram,Australia,Victoria,Australia
Swan Hill,Australia,Victoria,Australia
Sunbury,Australia,Victoria,Australia
Proserpine,Australia,Queensland,Australia
Theodore,Australia,Queensland,Australia
Eidsvold,Australia,Queensland,Australia
Barcaldine,Australia,Queensland,Australia
Winton,Australia,Queensland,Australia
Longreach,Australia,Queensland,Australia
Caboolture,Australia,Queensland,Australia
Warwick,Australia,Queensland,Australia
Kingaroy,Australia,Queensland,Australia
Dalby,Australia,Queensland,Australia
Bongaree,Australia,Queensland,Australia
Gympie,Australia,Queensland,Australia
Ingham,Australia,Queensland,Australia
Birdsville,Australia,Queensland,Australia
Bedourie,Australia,Queensland,Australia
Boulia,Australia,Queensland,Australia
Richmond,Australia,Queensland,Australia
Burketown,Australia,Queensland,Australia
Hervey Bay,Australia,Queensland,Australia
Biloela,Australia,Queensland,Australia
Yeppoon,Australia,Queensland,Australia
Emerald,Australia,Queensland,Australia
Moranbah,Australia,Queensland,Australia
Charters Towers,Australia,Queensland,Australia
Ayr,Australia,Queensland,Australia
Atherton,Australia,Queensland,Australia
Port Douglas,Australia,Queensland,Australia
Smithton,Australia,Tasmania,Australia
Scottsdale,Australia,Tasmania,Australia
Bicheno,Australia,Tasmania,Australia
Oatlands,Australia,Tasmania,Australia
Queenstown,Australia,Tasmania,Australia
Kingston,Australia,Tasmania,Australia
Tennant Creek,Australia,Northern Territory,Australia
Yulara,Australia,Northern Territory,Australia
Erldunda,Australia,Northern Territory,Australia
Norseman,Australia,Western Australia,Australia
Halls Creek,Australia,Western Australia,Australia
Kununurra,Australia,Western Australia,Australia
Derby,Australia,Western Australia,Australia
Onslow,Australia,Western Australia,Australia
Exmouth,Australia,Western Australia,Australia
Carnarvon,Australia,Western Australia,Australia
Newman,Australia,Western Australia,Australia
Meekatharra,Australia,Western Australia,Australia
Three Springs,Australia,Western Australia,Australia
Manjimup,Australia,Western Australia,Australia
Northam,Australia,Western Australia,Australia
Esperance,Australia,Western Australia,Australia
Leonara,Australia,Western Australia,Australia
Laverton,Australia,Western Australia,Australia
Wyndham,Australia,Western Australia,Australia
Albury,Australia,New South Wales,Australia
Forster-Tuncurry,Australia,New South Wales,Australia
Port Macquarie,Australia,New South Wales,Australia
Tamworth,Australia,New South Wales,Australia
Grafton,Australia,New South Wales,Australia
Moree,Australia,New South Wales,Australia
Goondiwindi,Australia,New South Wales,Australia
Lismore,Australia,New South Wales,Australia
Wollongong,Australia,New South Wales,Australia
Ceduna,Australia,South Australia,Australia
Mount Gambier,Australia,South Australia,Australia
Port Augusta,Australia,South Australia,Australia
Warrnambool,Australia,Victoria,Australia
Mildura,Australia,Victoria,Australia
Geelong,Australia,Victoria,Australia
Camooweal,Australia,Queensland,Australia
Quilpie,Australia,Queensland,Australia
Charleville,Australia,Queensland,Australia
Hughenden,Australia,Queensland,Australia
Caloundra,Australia,Queensland,Australia
Roma,Australia,Queensland,Australia
Toowoomba,Australia,Queensland,Australia
Georgetown,Australia,Queensland,Australia
Thargomindah,Australia,Queensland,Australia
Weipa,Australia,Queensland,Australia
Karumba,Australia,Queensland,Australia
Cloncurry,Australia,Queensland,Australia
Maryborough,Australia,Queensland,Australia
Bundaberg,Australia,Queensland,Australia
Gladstone,Australia,Queensland,Australia
Bowen,Australia,Queensland,Australia
Innisfail,Australia,Queensland,Australia
Mackay,Australia,Queensland,Australia
Burnie,Australia,Tasmania,Australia
Launceston,Australia,Tasmania,Australia
Katherine,Australia,Northern Territory,Australia
Busselton,Australia,Western Australia,Australia
Mandurah,Australia,Western Australia,Australia
Broome,Australia,Western Australia,Australia
Kalgoorlie,Australia,Western Australia,Australia
Albany,Australia,Western Australia,Australia
Port Hedland,Australia,Western Australia,Australia
Karratha,Australia,Western Australia,Australia
Geraldton,Australia,Western Australia,Australia
Griffith,Australia,New South Wales,Australia
Orange,Australia,New South Wales,Australia
Dubbo,Australia,New South Wales,Australia
Armidale,Australia,New South Wales,Australia
Broken Hill,Australia,New South Wales,Australia
Port Lincoln,Australia,South Australia,Australia
Whyalla,Australia,South Australia,Australia
Portland,Australia,Victoria,Australia
Bendigo,Australia,Victoria,Australia
Wangaratta,Australia,Victoria,Australia
Windorah,Australia,Queensland,Australia
Mount Isa,Australia,Queensland,Australia
Rockhampton,Australia,Queensland,Australia
Cairns,Australia,Queensland,Australia
Gold Coast,Australia,Queensland,Australia
Devonport,Australia,Tasmania,Australia
Darwin,Australia,Northern Territory,Australia
Alice Springs,Australia,Northern Territory,Australia
Canberra,Australia,Australian Capital Territory,Australia
Newcastle,Australia,New South Wales,Australia
Adelaide,Australia,South Australia,Australia
Townsville,Australia,Queensland,Australia
Brisbane,Australia,Queensland,Australia
Hobart,Australia,Tasmania,Australia
Perth,Australia,Western Australia,Australia
Melbourne,Australia,Victoria,Australia
Sydney,Australia,New South Wales,Australia
Bregenz,Austria,Vorarlberg,Europe
Eisenstadt,Austria,Burgenland,Europe
Wiener Neustadt,Austria,Niederösterreich,Europe
Graz,Austria,Steiermark,Europe
Klagenfurt,Austria,Kärnten,Europe
Linz,Austria,Oberösterreich,Europe
Passau,Austria,Oberösterreich,Europe
Salzburg,Austria,Salzburg,Europe
Innsbruck,Austria,Tirol,Europe
Vienna,Austria,Wien,Europe
Gadabay,Azerbaijan,Gadabay,Asia
Goranboy,Azerbaijan,Goranboy,Asia
Tovuz,Azerbaijan,Tovuz,Asia
Agdam,Azerbaijan,Tovuz,Asia
Qabala,Azerbaijan,Qabala,Asia
Oguz,Azerbaijan,Oguz,Asia
Ganca,Azerbaijan,Ganca,Asia
Yevlax,Azerbaijan,Yevlax,Asia
Sumqayt,Azerbaijan,Sumqayit,Asia
Ali Bayramli,Azerbaijan,?li Bayramli,Asia
Goycay,Azerbaijan,Göyçay,Asia
Lankaran,Azerbaijan,Astara,Asia
Saki,Azerbaijan,S?ki,Asia
Stepanakert,Azerbaijan,Xocali,Asia
Kapan,Azerbaijan,Z?ngilan,Asia
Naxcivan,Azerbaijan,Naxçivan,Asia
Baku,Azerbaijan,Baki,Asia
Manama,Bahrain,,Asia
Tangail,Bangladesh,Dhaka,Asia
Sylhet,Bangladesh,Sylhet,Asia
Mymensingh,Bangladesh,Dhaka,Asia
Jamalpur,Bangladesh,Dhaka,Asia
Narayanganj,Bangladesh,Dhaka,Asia
Jessore,Bangladesh,Khulna,Asia
Barisal,Bangladesh,Barisal,Asia
Comilla,Bangladesh,Chittagong,Asia
Pabna,Bangladesh,Rajshahi,Asia
Nawabganj,Bangladesh,Rajshahi,Asia
Saidpur,Bangladesh,Rajshahi,Asia
Rangpur,Bangladesh,Rajshahi,Asia
Khulna,Bangladesh,Khulna,Asia
Rajshahi,Bangladesh,Rajshahi,Asia
Dhaka,Bangladesh,Dhaka,Asia
Chittagong,Bangladesh,Chittagong,Asia
Bridgetown,Barbados,Saint Michael,South America
Baranavichy,Belarus,Brest,Europe
Polatsk,Belarus,Vitsyebsk,Europe
Maladzyechna,Belarus,Minsk,Europe
Pinsk,Belarus,Brest,Europe
Mazyr,Belarus,Homyel',Europe
Mahilyow,Belarus,Mahilyow,Europe
Babruysk,Belarus,Mahilyow,Europe
Orsha,Belarus,Vitsyebsk,Europe
Lida,Belarus,Hrodna,Europe
Hrodna,Belarus,Hrodna,Europe
Barysaw,Belarus,Minsk,Europe
Homyel,Belarus,Homyel',Europe
Vitsyebsk,Belarus,Vitsyebsk,Europe
Brest,Belarus,Brest,Europe
Minsk,Belarus,Minsk,Europe
Mons,Belgium,Hainaut,Europe
Hasselt,Belgium,Limburg,Europe
Arlon,Belgium,Arlon,Europe
Gent,Belgium,East Flanders,Europe
Liege,Belgium,Liege,Europe
Brugge,Belgium,Brugge,Europe
Namur,Belgium,Namur,Europe
Charleroi,Belgium,Charleroi,Europe
Antwerpen,Belgium,Antwerp,Europe
Brussels,Belgium,Brussels,Europe
